Customer ID,Name,Age,Gender,Email,Phone,City,State,Country,Region,Join Date,Last Purchase,Orders,Average Order Value,Total Revenue,Customer Lifetime Value,Annual Income,Monthly Income,Satisfaction Score,Customer Score,Churn Risk,Segment,Loyalty Level,Favorite Category,Payment Method,Acquisition Channel,Discount Usage (%),Returns,Support Tickets,Website Visits,App Sessions,Wishlist Items,Cart Abandonments,Referral Count,Coupon Used,Premium Member,Newsletter,Days Since Last Purchase
1,Danielle Johnson,58,Male,john21@example.net,9600133890,Robinsonshire,Louisiana,India,North,2025-10-12,2026-03-23,36,2506,90216,160615.87,679895,56657,4.2,100.0,38.0,Regular,Silver,Electronics,Cash,Google Ads,69,2,18,221,8,1,2,6,Yes,No,Subscribed,120
2,Lisa Smith,46,Female,helenpeterson@example.org,5116155940,Millerport,South Dakota,India,North,2025-11-17,2025-09-14,104,1807,187928,566633.44,1677114,139759,3.2,100.0,48.0,Premium,Gold,Electronics,UPI,Email Campaign,27,10,3,52,97,6,11,11,No,Yes,Not Subscribed,310
3,Christine Hensley,23,Female,janetwilliams@example.org,1316475255,New Jessica,Hawaii,India,Central,2026-06-15,2025-08-29,47,5229,245763,417784.89,541735,45144,2.6,100.0,54.0,Premium,Gold,Home,UPI,Mobile App,29,9,2,124,25,24,8,14,No,Yes,Not Subscribed,326
4,Steven Nelson,62,Male,gabriellecameron@example.org,0564139537,Donaldside,Ohio,India,Central,2025-03-08,2025-12-27,22,4875,107250,332017.01,935359,77946,3.7,100.0,43.0,Regular,Silver,Fashion,UPI,Website,34,7,10,33,58,2,25,10,No,Yes,Not Subscribed,206
5,Jose Richards,43,Female,icox@example.net,1012269166,Tashatown,Utah,India,South,2023-02-09,2025-11-10,18,2520,45360,142293.02,2510634,209219,3.2,77.07,50.0,Regular,Bronze,Electronics,Credit Card,Email Campaign,74,13,18,209,92,14,4,16,Yes,Yes,Subscribed,253
6,Jennifer Maldonado,68,Female,kayla51@example.com,2704828148,Kathrynside,Wyoming,India,Central,2021-12-24,2026-01-27,50,3626,181300,498449.89,2213143,184428,3.8,100.0,42.0,Premium,Gold,Sports,Credit Card,Instagram,70,0,3,279,192,17,24,20,Yes,No,Subscribed,175
7,Sandra Sellers,64,Female,tracy15@example.com,0391171822,Allisonchester,Indiana,India,Central,2025-11-23,2025-10-22,23,4658,107134,382771.82,2872699,239391,3.2,99.43,48.0,Regular,Silver,Home,Credit Card,Google Ads,81,6,4,196,195,10,17,24,No,Yes,Subscribed,272
8,Sarah Campos,41,Female,jenniferross@example.net,7871331509,North Chad,South Dakota,India,South,2021-12-12,2026-04-27,31,7692,238452,637889.63,580331,48360,2.7,100.0,45.5,Premium,Gold,Groceries,UPI,Google Ads,62,2,17,69,32,30,30,17,No,Yes,Subscribed,85
9,Brian Jones,63,Female,heathchad@example.org,7382997376,Gomezchester,New Jersey,India,West,2025-05-22,2025-09-22,84,3559,298956,699276.09,2420870,201739,3.6,100.0,44.0,VIP,Platinum,Electronics,Debit Card,Website,31,7,2,178,5,37,17,7,Yes,Yes,Subscribed,302
10,Michelle Brown,20,Female,brownjessica@example.org,3387262473,North Deniseside,Alabama,India,North,2024-07-03,2025-08-17,31,2781,86211,253403.63,1148574,95714,3.8,100.0,42.0,Regular,Silver,Sports,Net Banking,Instagram,92,15,7,247,104,12,3,3,No,No,Subscribed,338
11,Tanya House,61,Male,gabrieltucker@example.org,0260647468,Jeffton,Pennsylvania,India,North,2023-11-18,2026-06-12,94,3279,308226,1011456.11,708307,59025,3.1,100.0,18.5,VIP,Platinum,Groceries,Net Banking,Email Campaign,24,14,4,221,46,17,14,7,Yes,Yes,Subscribed,39
12,Jill Brown,23,Male,brian97@example.net,0812191361,New Christophershire,Oregon,India,South,2023-11-26,2025-07-29,63,4443,279909,491448.26,1932084,161007,4.8,100.0,32.0,VIP,Platinum,Beauty,Wallet,Email Campaign,21,12,0,204,67,29,9,13,No,Yes,Subscribed,357
13,Alexandra Donovan,36,Male,elizabethedwards@example.com,2475107991,Davidstad,California,India,North,2024-11-14,2026-06-09,95,4941,469395,637668.27,1565353,130446,2.6,100.0,25.0,VIP,Platinum,Beauty,Debit Card,Website,74,15,16,276,40,3,30,16,Yes,Yes,Not Subscribed,42
14,Natasha Wood,25,Male,samueldaniels@example.com,8412411824,Jamesview,North Carolina,India,Central,2024-12-15,2025-08-11,6,5573,33438,47253.14,2698099,224841,3.9,57.69,55.0,New,Bronze,Sports,Wallet,Instagram,40,8,6,165,61,16,12,4,No,Yes,Subscribed,344
15,Tracy Whitehead,47,Male,davisrodney@example.com,0524278680,Port Mikeside,Georgia,India,North,2024-08-21,2025-09-10,28,4644,130032,245698.2,1713849,142820,4.7,100.0,33.0,Premium,Gold,Electronics,Wallet,Google Ads,31,11,9,85,112,34,22,9,No,Yes,Subscribed,314
16,Russell Williams,34,Male,rachel05@example.org,1586923226,Phambury,Louisiana,India,North,2025-10-14,2026-06-03,71,1773,125883,240198.03,2786840,232236,3.0,100.0,24.0,Premium,Gold,Groceries,Wallet,Facebook,43,6,20,140,129,31,8,1,No,Yes,Subscribed,48
17,Erik Haynes,39,Male,ebrennan@example.org,7543303654,Frazierside,Michigan,India,East,2022-07-12,2026-05-06,95,4119,391305,1030841.8,2043848,170320,3.9,100.0,29.0,VIP,Platinum,Electronics,Net Banking,Mobile App,14,2,4,284,9,23,18,17,No,No,Subscribed,76
18,Sheila Wilson,40,Male,gregory40@example.org,5569816934,West Ryan,Texas,India,South,2025-05-12,2026-01-31,14,3397,47558,153531.6,1954470,162872,4.9,86.51,37.0,Regular,Bronze,Books,Net Banking,Email Campaign,95,4,7,88,45,26,0,5,Yes,No,Subscribed,171
19,Samantha Hanson,68,Male,cortezkevin@example.com,5648236629,West Justinchester,Pennsylvania,India,West,2026-07-07,2025-12-28,5,7533,37665,91292.2,1087069,90589,4.5,62.53,50.0,New,Bronze,Groceries,UPI,Instagram,58,11,9,121,57,1,21,6,Yes,No,Not Subscribed,205
20,Catherine Morris,59,Female,nramos@example.net,2148951343,East Traceyland,New Jersey,India,Central,2023-06-25,2025-11-01,4,1444,5776,20102.21,1345615,112134,2.9,38.16,67.0,At Risk,Bronze,Beauty,Credit Card,Facebook,33,1,3,227,88,20,13,19,Yes,No,Subscribed,262
21,Robert Soto,63,Female,jennifercruz@example.com,2016328708,Port Steven,North Dakota,India,North,2024-07-15,2025-11-03,119,7106,845614,2198575.42,1076425,89702,3.4,100.0,46.0,VIP,Platinum,Sports,UPI,Referral,8,10,19,165,169,7,23,9,No,No,Not Subscribed,260
22,Vanessa Larson,53,Male,usalazar@example.net,8727743487,Lake Justinview,Michigan,India,South,2023-12-25,2025-09-27,86,3605,310030,918007.09,979923,81660,4.0,100.0,40.0,VIP,Platinum,Home,Cash,Referral,38,12,17,5,77,18,6,13,No,No,Not Subscribed,297
23,Luis Fernandez,61,Male,edwardreyes@example.org,1665876036,Woodsstad,Maryland,India,Central,2024-04-11,2026-04-10,102,7882,803964,2971099.78,961737,80144,4.1,100.0,39.0,VIP,Platinum,Electronics,Debit Card,Website,36,10,2,125,172,19,7,25,Yes,No,Subscribed,102
24,Karen Castaneda,47,Female,vmedina@example.net,7346706562,South Brittanytown,Colorado,India,Central,2022-09-18,2025-10-28,92,6204,570768,1254744.42,1926265,160522,3.1,100.0,49.0,VIP,Platinum,Beauty,Net Banking,Website,83,0,3,222,56,11,25,22,Yes,Yes,Not Subscribed,266
25,Dawn Taylor,26,Female,qwhite@example.com,3755646417,Jeffreyland,Wyoming,India,Central,2024-10-03,2026-03-16,77,3099,238623,875770.98,2106287,175523,4.0,100.0,40.0,Premium,Gold,Groceries,Wallet,Instagram,92,13,17,233,40,30,14,8,No,Yes,Not Subscribed,127
26,Susan Williams,46,Male,herringjames@example.org,3271937452,West Daniel,Alaska,India,East,2022-12-09,2025-12-24,35,3251,113785,231125.2,2515562,209630,2.7,100.0,53.0,Regular,Silver,Sports,UPI,Google Ads,19,7,12,83,180,13,2,13,No,Yes,Subscribed,209
27,Sarah Johnston,44,Female,tsanders@example.org,9314919058,Alexanderchester,New York,India,Central,2025-07-10,2025-10-14,3,7518,22554,78706.86,2664620,222051,3.5,45.51,62.0,New,Bronze,Sports,Cash,Mobile App,0,11,9,204,107,34,23,23,Yes,No,Not Subscribed,280
28,Daniel Yu,49,Male,bzimmerman@example.org,9877694531,Hudsonfurt,Michigan,India,West,2023-07-05,2025-12-13,86,6063,521418,1707732.61,942247,78520,4.6,100.0,34.0,VIP,Platinum,Sports,Debit Card,Email Campaign,16,0,12,293,169,1,2,20,Yes,Yes,Not Subscribed,220
29,Anthony Rosales,42,Female,tonykelly@example.com,4948083136,Brewerfort,New Hampshire,India,South,2024-03-04,2026-03-28,42,3264,137088,435829.79,1840170,153347,3.2,100.0,48.0,Premium,Gold,Groceries,Wallet,Website,53,8,2,245,4,34,1,11,Yes,Yes,Subscribed,115
30,Laura Davis,30,Male,richardsanchez@example.net,7885685574,Lake Jamesville,West Virginia,India,Central,2022-06-24,2026-05-23,31,1534,47554,115616.08,729784,60815,3.9,100.0,20.5,Regular,Bronze,Electronics,Debit Card,Instagram,27,14,8,193,42,38,19,23,Yes,No,Not Subscribed,59
31,Amanda Gill,43,Male,jamesrodgers@example.com,1343524082,Heidiberg,South Dakota,India,North,2024-12-10,2026-01-12,89,7304,650056,1840198.18,677405,56450,4.2,100.0,38.0,VIP,Platinum,Books,Credit Card,Google Ads,38,3,18,26,88,34,13,21,No,Yes,Not Subscribed,190
32,Miranda Henry,70,Female,andrewstaylor@example.com,2047116719,Christopherbury,Delaware,India,North,2024-01-20,2025-11-24,47,5706,268182,943489.76,2178286,181523,4.3,100.0,37.0,VIP,Platinum,Books,Net Banking,Email Campaign,55,5,16,143,157,34,24,15,No,No,Subscribed,239
33,Angela Butler,23,Female,kimberlyjames@example.com,9649909133,East Andrea,Hawaii,India,West,2022-12-28,2026-01-27,97,4306,417682,1120059.84,1839596,153299,3.3,100.0,47.0,VIP,Platinum,Books,UPI,Google Ads,63,10,5,254,54,22,25,8,No,Yes,Subscribed,175
34,Aaron Hayes,23,Male,ocarter@example.com,7134936183,North Gabrielport,Rhode Island,India,West,2024-05-12,2026-03-18,72,6710,483120,881617.78,2246879,187239,4.1,100.0,39.0,VIP,Platinum,Beauty,UPI,Referral,62,14,0,52,75,14,12,22,No,No,Not Subscribed,125
35,Kaitlyn Carroll,45,Female,scott74@example.net,4887719065,East Suzanneshire,Pennsylvania,India,East,2025-07-25,2025-11-15,59,2719,160421,320395.99,1216946,101412,2.8,100.0,52.0,Premium,Gold,Beauty,UPI,Referral,24,10,3,279,195,11,6,6,No,Yes,Subscribed,248
